x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
477000.17,7424579.21,476961.15,7424598.07,43.339,3602175,conexao,conexao,AC,10.0,35.0
476961.15,7424598.07,476962.91,7424601.86,4.179,3602175,conexao,conexao,AC,10.0,35.0
476962.91,7424601.86,476926.76,7424622.6,41.677,3602175,conexao,conexao,AC,10.0,35.0
476926.76,7424622.6,476888.21,7424640.59,42.541,3602175,conexao,conexao,AC,10.0,35.0
476888.21,7424640.59,476887.07,7424638.2,2.648,3602175,conexao,conexao,AC,10.0,35.0
476887.07,7424638.2,476514.07,7424814.28,412.472,3602175,conexao,conexao,AC,10.0,35.0
476514.07,7424814.28,476462.35,7424832.98,54.997,3602175,conexao,conexao,AC,10.0,35.0
476462.35,7424832.98,476395.34,7424853.1,69.965,3602175,conexao,conexao,AC,10.0,35.0
476395.34,7424853.1,476317.49,7424869.38,79.534,3602175,conexao,conexao,AC,10.0,35.0
476317.49,7424869.38,476252.49,7424879.28,65.75,3602175,conexao,distribuicao,AC,10.0,35.0
476962.37,7424602.99,476927.81,7424622.75,39.81,3603027,distribuicao,conexao,AC,6.0,7.0
476927.81,7424622.75,476887.93,7424641.39,44.021,3603027,conexao,conexao,AC,6.0,7.0
476887.93,7424641.39,476886.78,7424639.0,2.652,3603027,conexao,conexao,AC,6.0,7.0
476886.78,7424639.0,476512.53,7424815.6,413.825,3603027,conexao,conexao,AC,6.0,7.0
476512.53,7424815.6,476459.72,7424834.55,56.107,3603027,conexao,conexao,AC,6.0,7.0
476459.72,7424834.55,476395.66,7424853.7,66.861,3603027,conexao,conexao,AC,6.0,7.0
476395.66,7424853.7,476322.03,7424869.2,75.244,3603027,conexao,conexao,AC,6.0,7.0
476322.03,7424869.2,476261.98,7424878.73,60.802,3603027,conexao,distribuicao,AC,6.0,7.0
477351.48,7423833.3,477676.77,7424162.34,462.689,3603634,distribuicao,distribuicao,PEAD,160.0,7.0
476962.63,7424602.83,476963.72,7424602.17,1.274,3765732,distribuicao,conexao,PEAD,200.0,7.0
476963.72,7424602.17,476961.94,7424598.36,4.205,3765732,conexao,conexao,PEAD,200.0,7.0
476961.94,7424598.36,476999.91,7424580.01,42.172,3765732,conexao,conexao,PEAD,200.0,7.0
476999.91,7424580.01,477001.96,7424583.91,4.406,3765732,conexao,conexao,PEAD,200.0,7.0
477001.96,7424583.91,477683.16,7424256.8,755.669,3765732,conexao,distribuicao,PEAD,200.0,7.0
476962.37,7424602.99,476962.63,7424602.83,0.305,3600754,distribuicao,distribuicao,AC,8.0,7.0
477691.18,7424274.58,477689.41,7424275.39,1.947,3765788,distribuicao,distribuicao,AC,4.0,7.0
477691.41,7424274.48,477691.18,7424274.58,0.251,3765778,distribuicao,distribuicao,AC,6.0,7.0
477676.77,7424162.34,477702.38,7424187.91,36.19,3601217,distribuicao,conexao,PEAD,160.0,7.0
477702.38,7424187.91,477736.93,7424233.48,57.187,3601217,conexao,distribuicao,PEAD,160.0,7.0
477683.16,7424256.8,477683.62,7424257.79,1.092,3765762,distribuicao,distribuicao,PEAD,160.0,7.0
477683.16,7424256.8,477731.13,7424234.37,52.955,3603372,distribuicao,conexao,PEAD,200.0,7.0
477731.13,7424234.37,477731.81,7424235.86,1.638,3603372,conexao,conexao,PEAD,200.0,7.0
477731.81,7424235.86,477736.93,7424233.48,5.646,3603372,conexao,distribuicao,PEAD,200.0,7.0
477691.41,7424274.48,477683.62,7424257.79,18.418,3765768,distribuicao,distribuicao,PEAD,160.0,7.0
477208.37,7423688.47,477351.48,7423833.3,203.608,3762890,distribuicao,distribuicao,PEAD,160.0,7.0
477208.37,7423688.47,477206.47,7423686.55,2.701,3601342,distribuicao,distribuicao,PEAD,160.0,7.0
477208.37,7423688.47,477210.7,7423686.13,3.302,3601366,distribuicao,distribuicao,PEAD,63.0,7.0
477210.7,7423686.13,477212.06,7423684.77,1.923,4138592,distribuicao,conexao,PEAD,63.0,7.0
477212.06,7423684.77,477208.53,7423681.23,4.999,4138592,conexao,conexao,PEAD,63.0,7.0
477208.53,7423681.23,477222.49,7423666.21,20.506,4138592,conexao,distribuicao,PEAD,63.0,7.0
477512.14,7423673.8,477351.48,7423833.3,226.389,3763013,distribuicao,distribuicao,PEAD,160.0,7.0
477510.76,7423672.4,477509.87,7423671.51,1.259,4138551,distribuicao,conexao,PEAD,63.0,7.0
477509.87,7423671.51,477508.1,7423673.28,2.503,4138551,conexao,conexao,PEAD,63.0,7.0
477508.1,7423673.28,477505.91,7423671.08,3.104,4138551,conexao,distribuicao,PEAD,63.0,7.0
477512.14,7423673.8,477510.76,7423672.4,1.966,3763110,distribuicao,distribuicao,PEAD,63.0,7.0
477505.56,7423670.73,477505.28,7423670.45,0.396,4138564,distribuicao,distribuicao,AC,1.0,7.0
477505.91,7423671.08,477505.56,7423670.73,0.495,4138528,distribuicao,distribuicao,AC,2.0,7.0
477575.62,7423549.0,477505.32,7423620.09,99.983,3763095,distribuicao,conexao,PEAD,160.0,7.0
477505.32,7423620.09,477503.27,7423628.9,9.041,3763095,conexao,conexao,PEAD,160.0,7.0
477503.27,7423628.9,477505.46,7423637.75,9.12,3763095,conexao,conexao,PEAD,160.0,7.0
477505.46,7423637.75,477526.04,7423660.0,30.307,3763095,conexao,conexao,PEAD,160.0,7.0
477526.04,7423660.0,477512.14,7423673.8,19.587,3763095,conexao,distribuicao,PEAD,160.0,7.0
477580.55,7423544.13,477575.62,7423549.0,6.93,3763146,distribuicao,distribuicao,PEAD,160.0,7.0
477575.62,7423549.0,477572.09,7423545.39,5.049,3763155,distribuicao,distribuicao,PEAD,63.0,7.0
477485.94,7423441.87,477477.69,7423450.03,11.604,3763180,distribuicao,conexao,PEAD,63.0,7.0
477477.69,7423450.03,477572.09,7423545.39,134.175,3763180,conexao,distribuicao,PEAD,63.0,7.0
477485.94,7423441.87,477486.65,7423441.17,0.997,3763235,distribuicao,distribuicao,AC,2.0,7.0
474700.13,7425078.83,474562.33,7425114.62,142.372,4546943,distribuicao,conexao,AC,10.0,7.0
474562.33,7425114.62,474433.91,7425143.46,131.619,4546943,conexao,conexao,AC,10.0,7.0
474433.91,7425143.46,474131.84,7425218.18,311.171,4546943,conexao,conexao,AC,10.0,7.0
474131.84,7425218.18,474064.67,7425230.84,68.352,4546943,conexao,conexao,AC,10.0,7.0
474064.67,7425230.84,474023.38,7425235.41,41.542,4546943,conexao,conexao,AC,10.0,7.0
474023.38,7425235.41,473980.74,7425237.63,42.702,4546943,conexao,conexao,AC,10.0,7.0
473980.74,7425237.63,473837.56,7425219.29,144.35,4546943,conexao,conexao,AC,10.0,7.0
473837.56,7425219.29,473800.66,7425212.9,37.448,4546943,conexao,conexao,AC,10.0,7.0
473800.66,7425212.9,473782.94,7425207.21,18.608,4546943,conexao,conexao,AC,10.0,7.0
